name,category,aliases,display_qty,display_unit,canonical_qty,canonical_unit,nutrients
Onion,vegetable,onions|ui|uien,100,g,100,g,Energy:40;Protein:1.1;Carbohydrate:9.3;Sugar:4.2;Dietary Fiber:1.7;Fat:0.1;Vitamin C:7.4;Potassium:146
Red Onion,vegetable,rode ui,100,g,100,g,Energy:40;Protein:1.1;Carbohydrate:9.3;Sugar:4.2;Dietary Fiber:1.7;Fat:0.1;Vitamin C:7.4;Potassium:146
Garlic,vegetable,knoflook,100,g,100,g,Energy:149;Protein:6.4;Carbohydrate:33;Sugar:1;Dietary Fiber:2.1;Fat:0.5;Manganese:1.67;Vitamin C:31;Vitamin B6:1.24;Selenium:14;Calcium:181;Phosphorus:153
Potato,vegetable,potatoes|aardappel|aardappelen,100,g,100,g,Energy:77;Protein:2;Carbohydrate:17;Sugar:0.8;Dietary Fiber:2.2;Fat:0.1;Potassium:425;Vitamin C:19.7;Vitamin B6:0.3
Sweet Potato,vegetable,zoete aardappel|bataat,100,g,100,g,Energy:86;Protein:1.6;Carbohydrate:20;Sugar:4.2;Dietary Fiber:3;Fat:0.1;Vitamin A:709;Potassium:337;Vitamin C:2.4;Manganese:0.26
Zucchini,vegetable,courgette,100,g,100,g,Energy:17;Protein:1.2;Carbohydrate:3.1;Sugar:2.5;Dietary Fiber:1;Fat:0.3;Vitamin C:17.9;Potassium:261;Vitamin B6:0.16
Eggplant,vegetable,aubergine,100,g,100,g,Energy:25;Protein:1;Carbohydrate:5.9;Sugar:3.5;Dietary Fiber:3;Fat:0.2;Manganese:0.23;Potassium:229
Cauliflower,vegetable,bloemkool,100,g,100,g,Energy:25;Protein:1.9;Carbohydrate:5;Sugar:1.9;Dietary Fiber:2;Fat:0.3;Vitamin C:48;Vitamin K:15.5;Folate:57
White Cabbage,vegetable,cabbage|witte kool|kool,100,g,100,g,Energy:25;Protein:1.3;Carbohydrate:5.8;Sugar:3.2;Dietary Fiber:2.5;Fat:0.1;Vitamin C:37;Vitamin K:76;Folate:43
Red Cabbage,vegetable,rode kool,100,g,100,g,Energy:31;Protein:1.4;Carbohydrate:7.4;Sugar:3.8;Dietary Fiber:2.1;Fat:0.2;Vitamin C:57;Vitamin K:38;Vitamin A:56
Kale,vegetable,boerenkool,100,g,100,g,Energy:49;Protein:4.3;Carbohydrate:9;Sugar:2.3;Dietary Fiber:3.6;Fat:0.9;Vitamin K:705;Vitamin A:500;Vitamin C:120;Calcium:150;Manganese:0.66
Green Beans,vegetable,sperziebonen|prinsessenbonen,100,g,100,g,Energy:31;Protein:1.8;Carbohydrate:7;Sugar:3.3;Dietary Fiber:2.7;Fat:0.2;Vitamin C:12.2;Vitamin K:43;Folate:33
Peas,vegetable,green peas|doperwten|erwten,100,g,100,g,Energy:81;Protein:5.4;Carbohydrate:14;Sugar:5.7;Dietary Fiber:5.7;Fat:0.4;Vitamin C:40;Vitamin K:25;Folate:65;Thiamine:0.27;Iron:1.5;Manganese:0.41
Sweetcorn,vegetable,corn|maïs|mais,100,g,100,g,Energy:86;Protein:3.3;Carbohydrate:19;Sugar:3.2;Dietary Fiber:2.7;Fat:1.4;Folate:42;Vitamin C:6.8;Magnesium:37
Mushroom,vegetable,mushrooms|champignon|champignons,100,g,100,g,Energy:22;Protein:3.1;Carbohydrate:3.3;Sugar:2;Dietary Fiber:1;Fat:0.3;Riboflavin:0.4;Niacin:3.6;Selenium:9.3;Potassium:318;Copper:0.32
Celery,vegetable,bleekselderij|selderij,100,g,100,g,Energy:16;Protein:0.7;Carbohydrate:3;Sugar:1.3;Dietary Fiber:1.6;Fat:0.2;Vitamin K:29;Potassium:260;Folate:36
Leek,vegetable,prei,100,g,100,g,Energy:61;Protein:1.5;Carbohydrate:14;Sugar:3.9;Dietary Fiber:1.8;Fat:0.3;Vitamin K:47;Vitamin A:83;Manganese:0.48;Iron:2.1
Asparagus,vegetable,asperge|asperges,100,g,100,g,Energy:20;Protein:2.2;Carbohydrate:3.9;Sugar:1.9;Dietary Fiber:2.1;Fat:0.1;Vitamin K:42;Folate:52;Vitamin A:38;Vitamin C:5.6
Brussels Sprouts,vegetable,spruitjes,100,g,100,g,Energy:43;Protein:3.4;Carbohydrate:9;Sugar:2.2;Dietary Fiber:3.8;Fat:0.3;Vitamin C:85;Vitamin K:177;Folate:61;Vitamin A:38
Beetroot,vegetable,beet|rode biet|bieten,100,g,100,g,Energy:43;Protein:1.6;Carbohydrate:10;Sugar:6.8;Dietary Fiber:2.8;Fat:0.2;Folate:109;Potassium:325;Manganese:0.33
Radish,vegetable,radijs,100,g,100,g,Energy:16;Protein:0.7;Carbohydrate:3.4;Sugar:1.9;Dietary Fiber:1.6;Fat:0.1;Vitamin C:14.8;Potassium:233
Pumpkin,vegetable,pompoen,100,g,100,g,Energy:26;Protein:1;Carbohydrate:6.5;Sugar:2.8;Dietary Fiber:0.5;Fat:0.1;Vitamin A:426;Potassium:340;Vitamin C:9
Butternut Squash,vegetable,flespompoen|butternut,100,g,100,g,Energy:45;Protein:1;Carbohydrate:12;Sugar:2.2;Dietary Fiber:2;Fat:0.1;Vitamin A:532;Vitamin C:21;Potassium:352;Magnesium:34
Fennel,vegetable,venkel,100,g,100,g,Energy:31;Protein:1.2;Carbohydrate:7.3;Sugar:3.9;Dietary Fiber:3.1;Fat:0.2;Vitamin C:12;Potassium:414
Spring Onion,vegetable,scallion|lente-ui|bosui,100,g,100,g,Energy:32;Protein:1.8;Carbohydrate:7.3;Sugar:2.3;Dietary Fiber:2.6;Fat:0.2;Vitamin K:207;Vitamin C:18.8;Folate:64
Chili Pepper,vegetable,chilli|rode peper|spaanse peper,100,g,100,g,Energy:40;Protein:1.9;Carbohydrate:9;Sugar:5.3;Dietary Fiber:1.5;Fat:0.4;Vitamin C:144;Vitamin A:48;Vitamin B6:0.51
Avocado,vegetable,avocado,100,g,100,g,Energy:160;Protein:2;Carbohydrate:9;Sugar:0.7;Dietary Fiber:6.7;Fat:15;Saturated Fat:2.1;Potassium:485;Vitamin K:21;Folate:81;Vitamin E:2.1;Vitamin C:10
Rocket,vegetable,arugula|rucola|raketsla,100,g,100,g,Energy:25;Protein:2.6;Carbohydrate:3.7;Sugar:2.1;Dietary Fiber:1.6;Fat:0.7;Vitamin K:109;Vitamin A:119;Folate:97;Calcium:160
Parsnip,vegetable,pastinaak,100,g,100,g,Energy:75;Protein:1.2;Carbohydrate:18;Sugar:4.8;Dietary Fiber:4.9;Fat:0.3;Vitamin C:17;Folate:67;Potassium:375;Manganese:0.56
Bok Choy,vegetable,pak choi|paksoi,100,g,100,g,Energy:13;Protein:1.5;Carbohydrate:2.2;Sugar:1.2;Dietary Fiber:1;Fat:0.2;Vitamin A:223;Vitamin C:45;Vitamin K:46;Folate:66
Edamame,vegetable,soybeans|edamame|sojabonen,100,g,100,g,Energy:121;Protein:12;Carbohydrate:9;Sugar:2.2;Dietary Fiber:5;Fat:5;Folate:311;Vitamin K:27;Iron:2.3;Magnesium:64;Manganese:1
Ginger,vegetable,gember,100,g,100,g,Energy:80;Protein:1.8;Carbohydrate:18;Sugar:1.7;Dietary Fiber:2;Fat:0.8;Magnesium:43;Potassium:415;Vitamin B6:0.16
Sauerkraut,vegetable,zuurkool,100,g,100,g,Energy:19;Protein:0.9;Carbohydrate:4.3;Sugar:1.8;Dietary Fiber:2.9;Fat:0.1;Vitamin C:15;Sodium:661;Vitamin K:13
Green Olives,vegetable,olives|groene olijven|olijven,100,g,100,g,Energy:145;Protein:1;Carbohydrate:3.8;Sugar:0.5;Dietary Fiber:3.3;Fat:15;Saturated Fat:2;Sodium:1556;Iron:0.5;Vitamin E:3.8
Shallot,vegetable,sjalot,100,g,100,g,Energy:72;Protein:2.5;Carbohydrate:17;Sugar:7.9;Dietary Fiber:3.2;Fat:0.1;Potassium:334;Vitamin B6:0.35;Folate:34
Watercress,vegetable,waterkers,100,g,100,g,Energy:11;Protein:2.3;Carbohydrate:1.3;Sugar:0.2;Dietary Fiber:0.5;Fat:0.1;Vitamin K:250;Vitamin C:43;Vitamin A:160;Calcium:120
Turnip,vegetable,raap|knolraap,100,g,100,g,Energy:28;Protein:0.9;Carbohydrate:6.4;Sugar:3.8;Dietary Fiber:1.8;Fat:0.1;Vitamin C:21;Potassium:191
Apple,fruit,apples|appel|appels,100,g,100,g,Energy:52;Protein:0.3;Carbohydrate:14;Sugar:10;Dietary Fiber:2.4;Fat:0.2;Vitamin C:4.6;Potassium:107
Banana,fruit,bananas|banaan|bananen,100,g,100,g,Energy:89;Protein:1.1;Carbohydrate:23;Sugar:12;Dietary Fiber:2.6;Fat:0.3;Potassium:358;Vitamin C:8.7;Vitamin B6:0.37;Magnesium:27
Orange,fruit,oranges|sinaasappel|sinaasappels,100,g,100,g,Energy:47;Protein:0.9;Carbohydrate:12;Sugar:9.4;Dietary Fiber:2.4;Fat:0.1;Vitamin C:53;Folate:30;Potassium:181;Calcium:40
Mandarin,fruit,clementine|tangerine|mandarijn,100,g,100,g,Energy:53;Protein:0.8;Carbohydrate:13;Sugar:11;Dietary Fiber:1.8;Fat:0.3;Vitamin C:27;Vitamin A:34;Potassium:166
Lemon,fruit,lemons|citroen|citroenen,100,g,100,g,Energy:29;Protein:1.1;Carbohydrate:9.3;Sugar:2.5;Dietary Fiber:2.8;Fat:0.3;Vitamin C:53;Potassium:138
Lime,fruit,limes|limoen|limoenen,100,g,100,g,Energy:30;Protein:0.7;Carbohydrate:11;Sugar:1.7;Dietary Fiber:2.8;Fat:0.2;Vitamin C:29;Potassium:102
Grapefruit,fruit,pompelmoes|grapefruit,100,g,100,g,Energy:42;Protein:0.8;Carbohydrate:11;Sugar:7;Dietary Fiber:1.6;Fat:0.1;Vitamin C:31;Vitamin A:58;Potassium:135
Strawberry,fruit,strawberries|aardbei|aardbeien,100,g,100,g,Energy:32;Protein:0.7;Carbohydrate:7.7;Sugar:4.9;Dietary Fiber:2;Fat:0.3;Vitamin C:59;Manganese:0.39;Folate:24
Blueberry,fruit,blueberries|blauwe bes|bosbessen,100,g,100,g,Energy:57;Protein:0.7;Carbohydrate:14;Sugar:10;Dietary Fiber:2.4;Fat:0.3;Vitamin C:9.7;Vitamin K:19;Manganese:0.34
Raspberry,fruit,raspberries|framboos|frambozen,100,g,100,g,Energy:52;Protein:1.2;Carbohydrate:12;Sugar:4.4;Dietary Fiber:6.5;Fat:0.7;Vitamin C:26;Manganese:0.67;Vitamin K:7.8
Blackberry,fruit,blackberries|braam|bramen,100,g,100,g,Energy:43;Protein:1.4;Carbohydrate:10;Sugar:4.9;Dietary Fiber:5.3;Fat:0.5;Vitamin C:21;Vitamin K:20;Manganese:0.65
Grapes,fruit,grape|druif|druiven,100,g,100,g,Energy:69;Protein:0.7;Carbohydrate:18;Sugar:16;Dietary Fiber:0.9;Fat:0.2;Vitamin K:14.6;Vitamin C:3.2;Potassium:191
Watermelon,fruit,watermeloen,100,g,100,g,Energy:30;Protein:0.6;Carbohydrate:7.6;Sugar:6.2;Dietary Fiber:0.4;Fat:0.2;Vitamin C:8.1;Vitamin A:28;Potassium:112
Cantaloupe Melon,fruit,melon|meloen|cantaloupe,100,g,100,g,Energy:34;Protein:0.8;Carbohydrate:8.2;Sugar:7.9;Dietary Fiber:0.9;Fat:0.2;Vitamin C:37;Vitamin A:169;Potassium:267
Pineapple,fruit,ananas,100,g,100,g,Energy:50;Protein:0.5;Carbohydrate:13;Sugar:9.9;Dietary Fiber:1.4;Fat:0.1;Vitamin C:48;Manganese:0.93
Mango,fruit,mango|mango's,100,g,100,g,Energy:60;Protein:0.8;Carbohydrate:15;Sugar:14;Dietary Fiber:1.6;Fat:0.4;Vitamin C:36;Vitamin A:54;Folate:43;Vitamin E:0.9
Kiwi,fruit,kiwifruit|kiwi's,100,g,100,g,Energy:61;Protein:1.1;Carbohydrate:15;Sugar:9;Dietary Fiber:3;Fat:0.5;Vitamin C:93;Vitamin K:40;Potassium:312;Vitamin E:1.5
Peach,fruit,peaches|perzik|perziken,100,g,100,g,Energy:39;Protein:0.9;Carbohydrate:10;Sugar:8.4;Dietary Fiber:1.5;Fat:0.3;Vitamin C:6.6;Vitamin A:16;Potassium:190
Pear,fruit,pears|peer|peren,100,g,100,g,Energy:57;Protein:0.4;Carbohydrate:15;Sugar:10;Dietary Fiber:3.1;Fat:0.1;Vitamin C:4.3;Vitamin K:4.4;Potassium:116
Plum,fruit,plums|pruim|pruimen,100,g,100,g,Energy:46;Protein:0.7;Carbohydrate:11;Sugar:9.9;Dietary Fiber:1.4;Fat:0.3;Vitamin C:9.5;Vitamin K:6.4;Vitamin A:17
Cherry,fruit,cherries|kers|kersen,100,g,100,g,Energy:63;Protein:1.1;Carbohydrate:16;Sugar:13;Dietary Fiber:2.1;Fat:0.2;Vitamin C:7;Potassium:222
Apricot,fruit,apricots|abrikoos|abrikozen,100,g,100,g,Energy:48;Protein:1.4;Carbohydrate:11;Sugar:9.2;Dietary Fiber:2;Fat:0.4;Vitamin A:96;Vitamin C:10;Potassium:259
Pomegranate,fruit,granaatappel,100,g,100,g,Energy:83;Protein:1.7;Carbohydrate:19;Sugar:14;Dietary Fiber:4;Fat:1.2;Vitamin C:10;Vitamin K:16;Folate:38;Potassium:236
Fig,fruit,figs|vijg|vijgen,100,g,100,g,Energy:74;Protein:0.8;Carbohydrate:19;Sugar:16;Dietary Fiber:2.9;Fat:0.3;Potassium:232;Calcium:35
Coconut,fruit,kokosnoot|kokos,100,g,100,g,Energy:354;Protein:3.3;Carbohydrate:15;Sugar:6.2;Dietary Fiber:9;Fat:33;Saturated Fat:30;Manganese:1.5;Copper:0.44;Iron:2.4;Magnesium:32
Papaya,fruit,papaja,100,g,100,g,Energy:43;Protein:0.5;Carbohydrate:11;Sugar:7.8;Dietary Fiber:1.7;Fat:0.3;Vitamin C:61;Vitamin A:47;Folate:37;Potassium:182
Raisins,fruit,rozijnen|krenten,100,g,100,g,Energy:299;Protein:3.1;Carbohydrate:79;Sugar:59;Dietary Fiber:3.7;Fat:0.5;Potassium:749;Iron:1.9
Dates,fruit,date|dadel|dadels,100,g,100,g,Energy:282;Protein:2.5;Carbohydrate:75;Sugar:63;Dietary Fiber:8;Fat:0.4;Potassium:656;Magnesium:54
Cranberry,fruit,cranberries|veenbes,100,g,100,g,Energy:46;Protein:0.4;Carbohydrate:12;Sugar:4;Dietary Fiber:4.6;Fat:0.1;Vitamin C:14;Vitamin E:1.2
Chicken Breast,meat,kipfilet|kippenborst,100,g,100,g,Energy:165;Protein:31;Carbohydrate:0;Sugar:0;Fat:3.6;Saturated Fat:1;Cholesterol:85;Sodium:74;Niacin:13.7;Vitamin B6:0.6;Phosphorus:228;Selenium:24;Potassium:256;Zinc:1
Chicken Thigh,meat,kipdij|kippendij,100,g,100,g,Energy:209;Protein:26;Carbohydrate:0;Sugar:0;Fat:11;Saturated Fat:3;Cholesterol:120;Sodium:88;Zinc:2;Niacin:6;Phosphorus:180;Selenium:21
Turkey Breast,meat,kalkoenfilet|kalkoen,100,g,100,g,Energy:135;Protein:30;Carbohydrate:0;Sugar:0;Fat:1;Saturated Fat:0.3;Cholesterol:60;Sodium:60;Niacin:9;Vitamin B6:0.6;Selenium:28;Phosphorus:210
Beef Mince,meat,ground beef|gehakt|rundergehakt,100,g,100,g,Energy:250;Protein:26;Carbohydrate:0;Sugar:0;Fat:15;Saturated Fat:6;Cholesterol:78;Sodium:75;Iron:2.6;Zinc:6.3;Vitamin B12:2.5;Niacin:5;Phosphorus:200;Selenium:18
Beef Steak,meat,sirloin|biefstuk|rundvlees,100,g,100,g,Energy:201;Protein:28;Carbohydrate:0;Sugar:0;Fat:9;Saturated Fat:3.6;Cholesterol:80;Sodium:55;Iron:2.3;Zinc:5;Vitamin B12:1.6;Phosphorus:210;Selenium:25
Pork Chop,meat,karbonade|varkenskotelet,100,g,100,g,Energy:231;Protein:26;Carbohydrate:0;Sugar:0;Fat:14;Saturated Fat:5;Cholesterol:80;Sodium:62;Thiamine:0.7;Niacin:4.5;Vitamin B6:0.5;Phosphorus:200;Zinc:2.4;Selenium:35
Pork Tenderloin,meat,varkenshaas,100,g,100,g,Energy:143;Protein:26;Carbohydrate:0;Sugar:0;Fat:3.5;Saturated Fat:1.2;Cholesterol:65;Sodium:55;Thiamine:0.9;Niacin:6.3;Vitamin B6:0.8;Selenium:33
Minced Pork,meat,varkensgehakt,100,g,100,g,Energy:263;Protein:17;Carbohydrate:0;Sugar:0;Fat:21;Saturated Fat:8;Cholesterol:72;Sodium:60;Thiamine:0.6;Zinc:2;Selenium:24
Bacon,meat,spek|ontbijtspek,100,g,100,g,Energy:417;Protein:37;Carbohydrate:1.4;Sugar:0;Fat:28;Saturated Fat:9;Cholesterol:110;Sodium:1717;Selenium:46;Phosphorus:330;Zinc:3
Ham,meat,cooked ham|ham|gekookte ham,100,g,100,g,Energy:145;Protein:18;Carbohydrate:1.5;Sugar:0.5;Fat:7;Saturated Fat:2.5;Cholesterol:53;Sodium:1200;Thiamine:0.6;Selenium:20;Phosphorus:230
Salami,meat,salami,100,g,100,g,Energy:336;Protein:22;Carbohydrate:2;Sugar:0.5;Fat:26;Saturated Fat:10;Cholesterol:79;Sodium:1740;Zinc:3;Vitamin B12:2;Selenium:18
Lamb Chop,meat,lamskotelet|lamsvlees,100,g,100,g,Energy:282;Protein:25;Carbohydrate:0;Sugar:0;Fat:20;Saturated Fat:8.8;Cholesterol:97;Sodium:72;Zinc:4;Vitamin B12:2.6;Niacin:6;Iron:1.9
Duck Breast,meat,eendenborst|eend,100,g,100,g,Energy:201;Protein:24;Carbohydrate:0;Sugar:0;Fat:11;Saturated Fat:3;Cholesterol:89;Sodium:74;Iron:2.4;Zinc:1.9;Niacin:5;Selenium:22
Chicken Liver,meat,kippenlever,100,g,100,g,Energy:172;Protein:26;Carbohydrate:0.9;Sugar:0;Fat:6.5;Saturated Fat:2;Cholesterol:345;Sodium:76;Vitamin A:11078;Vitamin B12:16.6;Folate:588;Iron:9;Riboflavin:1.8;Selenium:55;Copper:0.4
Salmon,fish,zalm,100,g,100,g,Energy:208;Protein:20;Carbohydrate:0;Sugar:0;Fat:13;Saturated Fat:3.1;Cholesterol:55;Sodium:59;Vitamin D:11;Vitamin B12:3.2;Selenium:36;Omega-3 Fatty Acids:2300;Potassium:363;Niacin:8
Smoked Salmon,fish,gerookte zalm,100,g,100,g,Energy:117;Protein:18;Carbohydrate:0;Sugar:0;Fat:4.3;Saturated Fat:0.9;Cholesterol:23;Sodium:672;Vitamin D:17;Vitamin B12:3;Selenium:33;Omega-3 Fatty Acids:1500
Tuna,fish,fresh tuna|tonijn,100,g,100,g,Energy:144;Protein:23;Carbohydrate:0;Sugar:0;Fat:5;Saturated Fat:1.3;Cholesterol:38;Sodium:39;Vitamin D:5.7;Vitamin B12:9.4;Selenium:90;Niacin:18;Vitamin B6:0.9
Canned Tuna,fish,tuna in water|tonijn uit blik,100,g,100,g,Energy:116;Protein:26;Carbohydrate:0;Sugar:0;Fat:0.8;Saturated Fat:0.2;Cholesterol:42;Sodium:247;Selenium:80;Vitamin B12:2.5;Niacin:13;Phosphorus:200
Cod,fish,kabeljauw,100,g,100,g,Energy:82;Protein:18;Carbohydrate:0;Sugar:0;Fat:0.7;Saturated Fat:0.1;Cholesterol:43;Sodium:54;Selenium:33;Vitamin B12:1.1;Phosphorus:200;Iodine:110
Haddock,fish,schelvis,100,g,100,g,Energy:90;Protein:20;Carbohydrate:0;Sugar:0;Fat:0.6;Saturated Fat:0.1;Cholesterol:57;Sodium:68;Selenium:33;Vitamin B12:1.2;Phosphorus:200
Mackerel,fish,makreel,100,g,100,g,Energy:205;Protein:19;Carbohydrate:0;Sugar:0;Fat:14;Saturated Fat:3.3;Cholesterol:70;Sodium:90;Vitamin D:16;Vitamin B12:8.7;Selenium:44;Omega-3 Fatty Acids:2600
Herring,fish,haring,100,g,100,g,Energy:158;Protein:18;Carbohydrate:0;Sugar:0;Fat:9;Saturated Fat:2;Cholesterol:60;Sodium:90;Vitamin D:17;Vitamin B12:13;Selenium:37;Omega-3 Fatty Acids:1700
Sardines,fish,sardine|sardientjes,100,g,100,g,Energy:208;Protein:25;Carbohydrate:0;Sugar:0;Fat:11;Saturated Fat:1.5;Cholesterol:142;Sodium:307;Calcium:382;Vitamin D:4.8;Vitamin B12:8.9;Selenium:53;Omega-3 Fatty Acids:1480
Trout,fish,forel,100,g,100,g,Energy:148;Protein:21;Carbohydrate:0;Sugar:0;Fat:7;Saturated Fat:1.5;Cholesterol:59;Sodium:52;Vitamin D:13;Vitamin B12:5;Selenium:13;Niacin:5
Shrimp,fish,prawns|garnaal|garnalen,100,g,100,g,Energy:99;Protein:24;Carbohydrate:0.2;Sugar:0;Fat:0.3;Saturated Fat:0.1;Cholesterol:189;Sodium:111;Selenium:38;Vitamin B12:1.1;Phosphorus:214;Iodine:35;Zinc:1.6
Mussels,fish,mosselen,100,g,100,g,Energy:172;Protein:24;Carbohydrate:7.4;Sugar:0;Fat:4.5;Saturated Fat:0.9;Cholesterol:56;Sodium:369;Iron:6.7;Vitamin B12:24;Selenium:89;Manganese:6.8;Zinc:2.7
Squid,fish,calamari|inktvis,100,g,100,g,Energy:92;Protein:16;Carbohydrate:3.1;Sugar:0;Fat:1.4;Saturated Fat:0.4;Cholesterol:233;Sodium:44;Selenium:44;Vitamin B12:1.3;Copper:1.9;Phosphorus:221
Sea Bass,fish,zeebaars,100,g,100,g,Energy:97;Protein:18;Carbohydrate:0;Sugar:0;Fat:2;Saturated Fat:0.5;Cholesterol:41;Sodium:68;Selenium:36;Vitamin B12:2.5;Vitamin D:5
Whole Milk,dairy,full fat milk|volle melk,100,ml,100,ml,Energy:61;Protein:3.2;Carbohydrate:4.8;Sugar:5;Fat:3.3;Saturated Fat:1.9;Cholesterol:10;Sodium:43;Calcium:113;Phosphorus:84;Riboflavin:0.18;Vitamin B12:0.45;Potassium:132;Iodine:30
Semi-skimmed Milk,dairy,halfvolle melk,100,ml,100,ml,Energy:50;Protein:3.4;Carbohydrate:4.8;Sugar:4.8;Fat:1.8;Saturated Fat:1.1;Cholesterol:8;Sodium:44;Calcium:120;Phosphorus:90;Riboflavin:0.18;Vitamin B12:0.45;Iodine:30
Skimmed Milk,dairy,skim milk|magere melk,100,ml,100,ml,Energy:35;Protein:3.4;Carbohydrate:5;Sugar:5;Fat:0.1;Saturated Fat:0.1;Cholesterol:2;Sodium:44;Calcium:122;Phosphorus:95;Riboflavin:0.18;Vitamin B12:0.5;Iodine:30
Greek Yogurt,dairy,griekse yoghurt,100,g,100,g,Energy:97;Protein:9;Carbohydrate:3.9;Sugar:3.9;Fat:5;Saturated Fat:3.3;Cholesterol:13;Sodium:36;Calcium:100;Phosphorus:135;Vitamin B12:0.75;Riboflavin:0.27
Plain Yogurt,dairy,natural yogurt|naturel yoghurt|yoghurt,100,g,100,g,Energy:61;Protein:3.5;Carbohydrate:4.7;Sugar:4.7;Fat:3.3;Saturated Fat:2.1;Cholesterol:13;Sodium:46;Calcium:121;Phosphorus:95;Riboflavin:0.23;Vitamin B12:0.37
Cheddar,dairy,cheddar cheese|cheddar kaas,100,g,100,g,Energy:402;Protein:25;Carbohydrate:1.3;Sugar:0.5;Fat:33;Saturated Fat:21;Cholesterol:105;Sodium:621;Calcium:721;Phosphorus:512;Vitamin A:265;Vitamin B12:1.1;Zinc:3.1
Gouda,dairy,goudse kaas|gouda kaas,100,g,100,g,Energy:356;Protein:25;Carbohydrate:2.2;Sugar:2.2;Fat:27;Saturated Fat:18;Cholesterol:114;Sodium:819;Calcium:700;Phosphorus:546;Vitamin B12:1.5;Zinc:3.9
Mozzarella,dairy,mozzarella,100,g,100,g,Energy:280;Protein:22;Carbohydrate:2.2;Sugar:1;Fat:21;Saturated Fat:13;Cholesterol:79;Sodium:627;Calcium:505;Phosphorus:354;Vitamin B12:0.7;Zinc:2.9
Parmesan,dairy,parmezaan|parmezaanse kaas,100,g,100,g,Energy:392;Protein:36;Carbohydrate:3.2;Sugar:0.8;Fat:26;Saturated Fat:17;Cholesterol:88;Sodium:1529;Calcium:1184;Phosphorus:694;Zinc:2.8;Vitamin A:207
Feta,dairy,fetakaas,100,g,100,g,Energy:264;Protein:14;Carbohydrate:4.1;Sugar:4.1;Fat:21;Saturated Fat:15;Cholesterol:89;Sodium:1116;Calcium:493;Phosphorus:337;Riboflavin:0.84;Vitamin B12:1.7
Cottage Cheese,dairy,hüttenkäse|cottage cheese,100,g,100,g,Energy:98;Protein:11;Carbohydrate:3.4;Sugar:2.7;Fat:4.3;Saturated Fat:1.7;Cholesterol:17;Sodium:364;Calcium:83;Phosphorus:159;Vitamin B12:0.43;Selenium:9.5
Cream Cheese,dairy,roomkaas|monchou,100,g,100,g,Energy:342;Protein:6;Carbohydrate:4.1;Sugar:3.2;Fat:34;Saturated Fat:19;Cholesterol:101;Sodium:321;Calcium:98;Vitamin A:308
Brie,dairy,brie,100,g,100,g,Energy:334;Protein:21;Carbohydrate:0.5;Sugar:0.5;Fat:28;Saturated Fat:17;Cholesterol:100;Sodium:629;Calcium:184;Phosphorus:188;Vitamin B12:1.6;Riboflavin:0.52
